upgrade_id,faction_id
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,4
15,4
16,4
17,4
18,4
19,4
20,4
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,3
34,3
35,3
36,3
37,3
38,3
39,1
39,2
39,3
39,4
40,1
40,2
40,3
40,4
41,1
41,2
41,3
41,4
42,1
42,2
42,3
42,4
43,1
43,2
43,3
43,4
44,1
44,2
44,3
44,4
45,1
45,2
45,3
45,4
46,3
46,4
47,2
48,2
49,2
50,2
51,1
51,2
51,3
51,4
52,1
52,2
52,3
52,4
53,1
53,2
53,3
53,4
54,1
54,2
54,3
54,4
55,1
55,2
55,3
55,4
56,3
56,4
57,4
58,3
59,1
59,2
59,3
59,4
60,1
60,2
60,3
60,4
61,1
61,2
61,3
61,4
62,1
62,2
62,3
62,4
63,1
63,2
63,3
63,4
64,1
64,2
64,3
64,4
65,1
65,2
65,3
65,4
66,1
66,2
66,3
66,4
67,1
67,2
67,3
67,4
68,1
68,2
68,3
68,4
69,1
69,2
69,3
69,4
70,1
70,2
70,3
70,4
71,1
71,2
71,3
71,4
72,1
72,2
72,3
72,4
73,1
73,2
73,3
73,4
74,1
74,2
74,3
74,4
75,1
75,2
75,3
75,4
76,1
76,2
76,3
76,4
77,1
77,2
77,3
77,4
78,1
78,2
78,3
78,4
79,1
79,2
79,3
79,4
80,1
80,2
80,3
80,4
81,1
81,2
81,3
81,4
82,1
82,2
82,3
82,4
83,1
83,2
83,3
83,4
84,1
84,2
84,3
84,4
85,1
85,2
85,3
85,4
86,1
86,2
86,3
86,4
87,1
87,2
87,3
87,4
88,4
89,4
90,3
91,3
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,1
117,2
117,3
117,4
118,1
118,2
118,3
118,4
119,1
119,2
119,3
119,4
120,1
120,2
120,3
120,4
121,1
121,2
121,3
121,4
122,1
122,2
122,3
122,4
123,1
123,2
123,3
123,4
124,1
124,2
124,3
124,4
125,1
125,2
125,3
125,4
126,1
126,2
126,3
126,4
127,1
127,2
127,3
127,4
128,1
128,2
128,3
128,4
129,1
129,2
129,3
129,4
130,1
130,2
130,3
130,4
131,1
131,2
131,3
131,4
132,4
133,4
134,4
135,4
136,4
137,4
138,4
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,1
162,2
162,3
162,4
163,1
163,2
163,3
163,4
164,1
164,2
164,3
164,4
165,1
165,2
165,3
165,4
166,1
166,2
166,3
166,4
167,1
167,2
167,3
167,4
168,1
168,2
168,3
168,4
169,1
169,2
169,3
169,4
170,2
171,2
172,1
173,1
173,2
173,3
173,4
174,1
174,2
174,3
174,4
175,1
175,2
175,3
175,4
176,1
176,2
176,3
176,4
177,1
177,2
177,3
177,4
178,1
178,2
178,3
178,4
179,1
179,2
179,3
179,4
180,3
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,4
212,4
213,4
214,4
215,4
216,4
217,4
218,4
219,4
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,3
251,3
252,3
253,3
254,3
255,3
256,3
257,3
258,3
259,3
260,1
260,2
260,3
260,4
261,1
261,2
261,3
261,4
262,1
262,2
262,3
262,4
263,1
263,2
263,3
263,4
264,1
264,2
264,3
264,4
265,1
265,2
265,3
265,4
266,1
266,2
266,3
266,4
267,1
267,2
267,3
267,4
268,1
268,2
268,3
268,4
269,1
269,2
269,3
269,4
270,1
270,2
270,3
270,4
271,1
271,2
271,3
271,4
272,1
272,2
272,3
272,4
273,1
273,2
273,3
273,4
274,1
274,2
274,3
274,4
275,1
275,2
275,3
275,4
276,1
276,2
276,3
276,4
277,1
277,2
277,3
277,4
278,1
278,2
278,3
278,4
279,1
279,2
279,3
279,4
280,1
280,2
280,3
280,4
281,1
281,2
281,3
281,4
282,1
282,2
282,3
282,4
283,1
283,2
283,3
283,4
284,1
284,2
284,3
284,4
285,4
286,1
287,2
288,1
288,2
288,3
288,4
289,1
289,2
289,3
289,4
290,1
291,1
292,1
