event_id,round,player,points,tournament_points,opponent
1,1,Tim Bailey,114,4,Jared Eslick-Coats
1,1,Jared Eslick-Coats,214,7,Tim Bailey
1,1,Dennis Daniels,0,1,Michael Wright
1,1,Michael Wright,400,10,Dennis Daniels
1,1,Rob Harrison,400,9,Robin Sather
1,1,Robin Sather,106,2,Rob Harrison
1,1,Matt Somes,42,2,Patrick Doupe
1,1,Patrick Doupe,319,9,Matt Somes
1,1,Ryan Neupert,331,6,John Benedict
1,1,John Benedict,317,5,Ryan Neupert
1,1,Ryder Curry,170,7,Steve Smaha
1,1,Steve Smaha,74,4,Ryder Curry
1,1,Christopher Ernest,336,9,Nicholas Kolker
1,1,Nicholas Kolker,84,2,Christopher Ernest
1,1,Daniel Unzeitig,184,6,Mathew Schlueter
1,1,Mathew Schlueter,136,5,Daniel Unzeitig
1,1,Kevin Leintz,232,7,Royce Podeszwa
1,1,Royce Podeszwa,168,4,Kevin Leintz
1,1,Aiden Jablonski,27,3,Charles White
1,1,Charles White,217,8,Aiden Jablonski
1,1,Adam Klopfenstein,306,5,Eric Pearson
1,1,Eric Pearson,333,6,Adam Klopfenstein
1,1,Marcus Kubryn,25,5,Derek MacKinnon
1,1,Derek MacKinnon,78,6,Marcus Kubryn
1,1,Brooke Kortenbusch,318,7,Kyle Holt
1,1,Kyle Holt,258,4,Brooke Kortenbusch
1,1,Dennis Raschke,157,7,Paul Adler
1,1,Paul Adler,46,4,Dennis Raschke
1,1,Daniel Allen,108,7,Tom Kolker
1,1,Tom Kolker,0,4,Daniel Allen
1,1,Christopher McWilliam,87,4,Robert Coldwell
1,1,Robert Coldwell,158,7,Christopher McWilliam
1,1,Batlomiej Przybysz,215,7,Derek Cummings
1,1,Derek Cummings,78,4,Batlomiej Przybysz
1,1,Devon Balas,103,4,Nathanial Beaver
1,1,Nathanial Beaver,175,7,Devon Balas
1,1,Aaron Klingbeil,0,3,Kyle Bowen
1,1,Kyle Bowen,190,8,Aaron Klingbeil
1,1,Andy Jackson,174,4,Benjamin Baldwin
1,1,Benjamin Baldwin,259,7,Andy Jackson
1,1,Evan Rice,109,3,Christopher Fritz
1,1,Christopher Fritz,268,8,Evan Rice
1,1,Jacob Thompson,118,3,Paul Tomashevskyi
1,1,Paul Tomashevskyi,282,8,Jacob Thompson
1,1,William Brand,120,4,Jeffrey Post
1,1,Jeffrey Post,206,7,William Brand
1,1,Joseph Nelligan,242,6,Jerzy Frączek
1,1,Jerzy Frączek,218,5,Joseph Nelligan
1,1,Joshua Fletcher,52,4,Robert Podeszwa
1,1,Robert Podeszwa,153,7,Joshua Fletcher
1,1,Jordan Shettell,130,5,Lucas Woolard
1,1,Lucas Woolard,189,6,Jordan Shettell
1,1,Andrew Armbruster,61,7,Matthew Stoebner
1,1,Matthew Stoebner,0,4,Andrew Armbruster
1,1,Christopher Cottrill,28,5,Christopher Dyson
1,1,Christopher Dyson,58,6,Christopher Cottrill
1,1,Paul Conrad,359,8,Patrick Logan
1,1,Patrick Logan,143,3,Paul Conrad
1,1,Hiroki Ogawa,70,3,Ian Franklin
1,1,Ian Franklin,230,8,Hiroki Ogawa
1,1,Joshua Gorhau,89,6,Aaron Ray
1,1,Aaron Ray,51,5,Joshua Gorhau
1,1,Justin Campeau,60,4,Nicholas Larson
1,1,Nicholas Larson,193,7,Justin Campeau
1,1,Jason Dedrick,201,6,Justin Robbins
1,1,Justin Robbins,155,5,Jason Dedrick
1,1,Matt Palo,184,5,Aaron Hudson
1,1,Aaron Hudson,216,6,Matt Palo
1,1,Shawn Tweten,240,4,Mariano Banchero
1,1,Mariano Banchero,318,7,Shawn Tweten
1,1,Kale Campagna,87,1,Mitchell Fallinger
1,1,Mitchell Fallinger,480,10,Kale Campagna
1,1,Daniel Hrobar,32,4,Sean Newman
1,1,Sean Newman,165,7,Daniel Hrobar
1,1,Joseph Morton,196,3,Drew Hunnicutt
1,1,Drew Hunnicutt,359,8,Joseph Morton
1,1,Ricardo Marmolejo,55,1,Lewis Wright
1,1,Lewis Wright,400,10,Ricardo Marmolejo
1,1,Christian Garcia,535,10,William Welch
1,1,William Welch,149,1,Christian Garcia
1,1,Timothy Surburg,256,7,Greg Goodwin
1,1,Greg Goodwin,156,4,Timothy Surburg
1,1,Rhys Aghatabay,480,10,Mitchell Trantham
1,1,Mitchell Trantham,81,1,Rhys Aghatabay
1,1,Samuel Wang,0,5,Ryan Kubryn
1,1,Ryan Kubryn,26,6,Samuel Wang
